Couqley Gemayzeh,,,,,,,,,,,,,,,,,
Menu Engineering WorkSheet,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 1 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Carafe Kefraya Myst,12.00,0.05,%,3.19,12.61,,9.42,38.34,151.36,113.02,12.61,High,Low,,Challenge,,Tables
Carafe Reve Blanc,9.00,0.04,%,2.06,13.51,,11.45,18.56,121.63,103.06,13.51,High,Low,,Challenge,,Tables
Glass Blanc de Blanc,125.00,0.50,%,0.71,6.31,,5.60,88.72,788.28,699.56,6.31,Low,High,,Workhorse,,Tables
Glass Bordeaux Superieur,252.00,1.01,%,1.22,8.18,,6.96,307.12,"2,043.22","1,736.09",8.11,High,High,,Star,,Tables
Glass Entre Deux Mers White,48.00,0.19,%,2.11,8.11,,6.00,101.21,389.18,287.97,8.11,Low,Low,,Dog,,Tables
Glass House Wine Red,313.00,1.25,%,0.87,7.21,,6.34,271.26,"2,255.80","1,984.53",7.21,Low,High,,Workhorse,,Tables
Glass Kefraya Myst,34.00,0.14,%,0.83,5.41,,4.57,28.24,183.78,155.54,5.41,Low,Low,,Dog,,Tables
Glass Reve Blanc,25.00,0.10,%,0.71,6.31,,5.59,17.88,157.65,139.78,6.31,Low,Low,,Dog,,Tables
Glass Sparkling Wine,60.00,0.24,%,1.44,7.21,,5.76,86.66,432.42,345.76,7.21,Low,Low,,Dog,,Tables
Group: Cocktails,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Amaretto Sour,4.00,0.02,%,2.37,9.91,,7.54,9.46,39.64,30.18,9.91,High,Low,,Challenge,,Tables
Aperol De Provence,2.00,0.01,%,1.85,11.71,,9.86,3.71,23.42,19.72,11.71,High,Low,,Challenge,,Tables
Aperol Spritz,3.00,0.01,%,0.00,11.71,,11.71,0.00,35.14,35.14,11.71,High,Low,,Challenge,,Tables
Bloody Mary Vodka,7.00,0.03,%,0.99,9.91,,8.92,6.93,69.37,62.44,9.91,High,Low,,Challenge,,Tables
Boulevardier,2.00,0.01,%,1.44,8.11,,6.66,2.89,16.22,13.33,8.11,High,Low,,Challenge,,Tables
Cosmopolitan,2.00,0.01,%,2.01,9.91,,7.90,4.01,19.82,15.81,9.91,High,Low,,Challenge,,Tables
Espresso Martini,3.00,0.01,%,0.97,9.91,,8.94,2.91,29.73,26.82,9.91,High,Low,,Challenge,,Tables
French 75,2.00,0.01,%,1.20,8.11,,6.91,2.40,16.22,13.82,8.11,High,Low,,Challenge,,Tables
Gin Basil,37.00,0.15,%,0.41,9.91,,9.50,15.16,366.67,351.51,9.91,High,Low,,Challenge,,Tables
Gin Martini,1.00,0.00,%,1.06,9.91,,8.85,1.06,9.91,8.85,9.91,High,Low,,Challenge,,Tables
Granny Smith Vodka,1.00,0.00,%,0.57,9.91,,9.34,0.57,9.91,9.34,9.91,High,Low,,Challenge,,Tables
Hugo,4.00,0.02,%,2.57,11.71,,9.14,10.27,46.85,36.58,11.71,High,Low,,Challenge,,Tables
Margarita,23.00,0.09,%,1.79,9.91,,8.11,41.28,227.93,186.64,9.91,High,Low,,Challenge,,Tables
Mojito Rum,5.00,0.02,%,0.69,9.91,,9.22,3.45,49.55,46.10,9.91,High,Low,,Challenge,,Tables
Mules,2.00,0.01,%,1.20,9.91,,8.71,2.41,19.82,17.41,9.91,High,Low,,Challenge,,Tables
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 3 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Negroni,9.00,0.04,%,1.35,8.11,,6.75,12.18,72.97,60.79,8.11,High,Low,,Challenge,,Tables
Not A Negroni,2.00,0.01,%,2.09,11.71,,9.62,4.18,23.42,19.24,11.71,High,Low,,Challenge,,Tables
Off the menu Cocktail,4.00,0.02,%,0.00,9.01,,9.01,0.00,36.04,36.04,9.01,High,Low,,Challenge,,Tables
Old Fashioned,7.00,0.03,%,1.70,10.81,,9.11,11.92,75.68,63.75,10.81,High,Low,,Challenge,,Tables
Paloma Tequila,5.00,0.02,%,2.58,10.81,,8.23,12.92,54.05,41.13,10.81,High,Low,,Challenge,,Tables
Passion Fruit Martini,11.00,0.04,%,1.16,10.81,,9.65,12.72,118.92,106.20,10.81,High,Low,,Challenge,,Tables
Rusty Nail,2.00,0.01,%,1.46,8.11,,6.64,2.93,16.22,13.29,8.11,High,Low,,Challenge,,Tables
Spritz,7.00,0.03,%,3.54,11.71,,8.17,24.80,81.98,57.18,11.71,High,Low,,Challenge,,Tables
Tipperary 1916,4.00,0.02,%,1.32,9.01,,7.69,5.28,36.04,30.76,9.01,High,Low,,Challenge,,Tables
Whisky Sour,2.00,0.01,%,0.87,9.91,,9.04,1.73,19.82,18.09,9.91,High,Low,,Challenge,,Tables
Group: Cold Drinks,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
7up,61.00,0.24,%,0.49,2.70,,2.21,30.20,164.88,134.69,2.70,Low,Low,,Dog,,Tables
Diet 7up,148.00,0.59,%,0.49,2.70,,2.21,72.52,400.03,327.51,2.70,Low,High,,Workhorse,,Tables
Diet Pepsi,596.00,2.38,%,0.49,2.70,,2.21,295.02,"1,605.47","1,310.45",2.70,Low,High,,Workhorse,,Tables
Ginger Ale,6.00,0.02,%,0.69,2.70,,2.01,4.14,16.22,12.08,2.70,Low,Low,,Dog,,Tables
Iced Tea,76.00,0.30,%,0.54,2.70,,2.16,41.04,205.42,164.38,2.70,Low,Low,,Dog,,Tables
Lemonade,40.00,0.16,%,0.27,3.15,,2.88,10.86,126.12,115.26,3.15,Low,Low,,Dog,,Tables
Minted Frozen Lemonade,7.00,0.03,%,0.41,4.50,,4.10,2.86,31.53,28.68,4.50,Low,Low,,Dog,,Tables
Non Alcoholic Cocktail,6.00,0.02,%,0.00,5.41,,5.41,0.00,32.43,32.43,5.41,Low,Low,,Dog,,Tables
